id,Name,Year,Percent of graduates with debt,Average debt of graduates,Per capita debt of graduates,Full-time freshmen who received any student loans (#),% of full-time freshmen who received any student loans,Average amount of student loans received by full-time freshmen who borrowed,Tuition and fees (in-district/in-state),Graduation rate (within 150% of normal time),Origin of data
1154,Tennessee - Total,2014-15,0.6,26083,15646,24645,0.4,6583,12237,0.46,CollegeInSight_Explore_WY.csv
1155,Tennessee - Total,2013-14,0.6,25510,15223,25289,0.42,6507,11866,0.46,CollegeInSight_Explore_WY.csv
1156,Tennessee - Total,2012-13,0.57,24585,14077,27923,0.45,6426,11247,0.46,CollegeInSight_Explore_WY.csv
1157,Tennessee - Total,2011-12,0.58,21775,12614,28557,0.43,6023,10396,0.44,CollegeInSight_Explore_WY.csv
1158,Tennessee - Total,2010-11,0.53,20335,10855,30906,0.44,6198,9646,0.47,CollegeInSight_Explore_WY.csv
1159,Tennessee - Total,2009-10,0.53,19308,10205,33229,0.44,6403,9113,0.46,CollegeInSight_Explore_WY.csv
1160,"Texas - Private, for-profit",2016-17,,,,,,,15648,,CollegeInSight_Explore_WY.csv
1161,"Texas - Private, for-profit",2015-16,,,,32985,0.72,7277,16174,0.61,CollegeInSight_Explore_WY.csv
1162,"Texas - Private, for-profit",2014-15,,,,35062,0.75,7567,16329,0.61,CollegeInSight_Explore_WY.csv
1163,"Texas - Private, for-profit",2013-14,,,,35528,0.74,7718,15726,0.58,CollegeInSight_Explore_WY.csv
1164,"Texas - Private, for-profit",2012-13,,,,33899,0.69,7729,16326,0.6,CollegeInSight_Explore_WY.csv
1165,"Texas - Private, for-profit",2011-12,,,,41574,0.72,7859,15620,0.62,CollegeInSight_Explore_WY.csv
1166,"Texas - Private, for-profit",2010-11,,,,52891,0.78,7579,16297,0.62,CollegeInSight_Explore_WY.csv
1167,"Texas - Private, for-profit",2009-10,,,,65179,0.73,7407,17490,0.59,CollegeInSight_Explore_WY.csv
1168,"Texas - Private, nonprofit",2016-17,0.53,35436,18781,,,,33201,,CollegeInSight_Explore_WY.csv
1169,"Texas - Private, nonprofit",2015-16,0.53,34930,18513,12736,0.55,8495,32082,0.61,CollegeInSight_Explore_WY.csv
1170,"Texas - Private, nonprofit",2014-15,0.59,34422,20370,12480,0.57,8959,30614,0.61,CollegeInSight_Explore_WY.csv
1171,"Texas - Private, nonprofit",2013-14,0.64,32909,20975,12751,0.57,8647,29020,0.61,CollegeInSight_Explore_WY.csv
1172,"Texas - Private, nonprofit",2012-13,0.63,31799,20096,12602,0.58,8352,27417,0.6,CollegeInSight_Explore_WY.csv
1173,"Texas - Private, nonprofit",2011-12,0.57,32024,18324,12957,0.6,7783,25928,0.63,CollegeInSight_Explore_WY.csv
1174,"Texas - Private, nonprofit",2010-11,0.59,29043,17210,12679,0.6,7374,24949,0.61,CollegeInSight_Explore_WY.csv
1175,"Texas - Private, nonprofit",2009-10,0.6,28346,17027,11995,0.6,7902,23585,0.6,CollegeInSight_Explore_WY.csv
1176,Texas - Public,2016-17,0.55,24587,13523,,,,6016,,CollegeInSight_Explore_WY.csv
1177,Texas - Public,2015-16,0.56,24222,13564,47580,0.34,5645,5676,0.34,CollegeInSight_Explore_WY.csv
1178,Texas - Public,2014-15,0.56,25796,14436,50286,0.35,5718,5406,0.33,CollegeInSight_Explore_WY.csv
1179,Texas - Public,2013-14,0.59,24804,14521,50334,0.36,5815,4995,0.32,CollegeInSight_Explore_WY.csv
1180,Texas - Public,2012-13,0.58,23860,13811,51372,0.37,5568,4909,0.32,CollegeInSight_Explore_WY.csv
1181,Texas - Public,2011-12,0.56,22449,12498,52687,0.38,5382,4641,0.31,CollegeInSight_Explore_WY.csv
1182,Texas - Public,2010-11,0.56,21089,11795,46525,0.34,5773,4381,0.32,CollegeInSight_Explore_WY.csv
1183,Texas - Public,2009-10,0.55,19376,10713,44438,0.34,5560,4117,0.31,CollegeInSight_Explore_WY.csv
1184,Texas - Total,2016-17,0.55,26824,14753,,,,9695,,CollegeInSight_Explore_WY.csv
1185,Texas - Total,2015-16,0.56,26292,14724,93301,0.45,6611,9328,0.42,CollegeInSight_Explore_WY.csv
1186,Texas - Total,2014-15,0.56,27207,15362,97828,0.46,6794,8973,0.42,CollegeInSight_Explore_WY.csv
1187,Texas - Total,2013-14,0.59,26250,15594,98613,0.47,6867,8436,0.41,CollegeInSight_Explore_WY.csv
1188,Texas - Total,2012-13,0.59,25244,14830,97873,0.47,6675,8237,0.42,CollegeInSight_Explore_WY.csv
1189,Texas - Total,2011-12,0.56,23933,13381,107218,0.49,6633,7760,0.44,CollegeInSight_Explore_WY.csv
1190,Texas - Total,2010-11,0.57,22523,12726,112095,0.5,6806,7612,0.44,CollegeInSight_Explore_WY.csv
1191,Texas - Total,2009-10,0.56,20919,11727,121612,0.51,6781,7263,0.43,CollegeInSight_Explore_WY.csv
1192,"Vermont - Private, for-profit",2016-17,,,,,,,,,CollegeInSight_Explore_WY.csv
1193,"Vermont - Private, for-profit",2015-16,,,,115,0.59,8990,,0.58,CollegeInSight_Explore_WY.csv
1194,"Vermont - Private, for-profit",2014-15,,,,167,0.75,9770,,0.53,CollegeInSight_Explore_WY.csv
1195,"Vermont - Private, for-profit",2013-14,,,,228,0.55,13914,,0.53,CollegeInSight_Explore_WY.csv
1196,"Vermont - Private, for-profit",2012-13,,,,334,0.77,10553,,0.56,CollegeInSight_Explore_WY.csv
1197,"Vermont - Private, for-profit",2011-12,,,,332,0.76,12526,,0.63,CollegeInSight_Explore_WY.csv
1198,"Vermont - Private, for-profit",2010-11,,,,276,0.82,10266,,0.57,CollegeInSight_Explore_WY.csv
1199,"Vermont - Private, for-profit",2009-10,,,,237,0.75,7968,,0.69,CollegeInSight_Explore_WY.csv
1200,"Vermont - Private, nonprofit",2016-17,0.62,32518,20161,,,,41398,,CollegeInSight_Explore_WY.csv
1201,"Vermont - Private, nonprofit",2015-16,0.62,30462,18886,1816,0.64,9102,40160,0.67,CollegeInSight_Explore_WY.csv
1202,"Vermont - Private, nonprofit",2014-15,0.62,30013,18660,2013,0.64,7801,37690,0.65,CollegeInSight_Explore_WY.csv
1203,"Vermont - Private, nonprofit",2013-14,0.67,31023,20660,1822,0.62,8422,37146,0.65,CollegeInSight_Explore_WY.csv
1204,"Vermont - Private, nonprofit",2012-13,0.6,25875,15419,2104,0.67,7833,35520,0.64,CollegeInSight_Explore_WY.csv
1205,"Vermont - Private, nonprofit",2011-12,0.66,29470,19538,2082,0.69,7493,34369,0.68,CollegeInSight_Explore_WY.csv
1206,"Vermont - Private, nonprofit",2010-11,0.67,29282,19587,2197,0.68,7495,32557,0.67,CollegeInSight_Explore_WY.csv
1207,"Vermont - Private, nonprofit",2009-10,0.68,29323,19972,1920,0.62,6667,29646,0.67,CollegeInSight_Explore_WY.csv
1208,Vermont - Public,2016-17,0.57,29012,16537,,,,15184,,CollegeInSight_Explore_WY.csv
1209,Vermont - Public,2015-16,0.63,27265,17177,2184,0.59,8514,14664,0.6,CollegeInSight_Explore_WY.csv
1210,Vermont - Public,2014-15,0.62,26890,16621,2143,0.59,8069,14017,0.62,CollegeInSight_Explore_WY.csv
1211,Vermont - Public,2013-14,0.64,26987,17284,2279,0.57,8232,13519,0.61,CollegeInSight_Explore_WY.csv
1212,Vermont - Public,2012-13,0.65,27886,18258,2300,0.59,7158,12971,0.6,CollegeInSight_Explore_WY.csv
1213,Vermont - Public,2011-12,0.6,27272,16321,2537,0.63,6898,12511,0.58,CollegeInSight_Explore_WY.csv
1214,Vermont - Public,2010-11,0.6,27317,16352,2590,0.62,6214,11828,0.59,CollegeInSight_Explore_WY.csv
1215,Vermont - Public,2009-10,0.64,27538,17492,2688,0.62,6128,11505,0.6,CollegeInSight_Explore_WY.csv
1216,Vermont - Total,2016-17,0.6,30651,18390,,,,27062,,CollegeInSight_Explore_WY.csv
1217,Vermont - Total,2015-16,0.63,28662,18057,4115,0.61,8787,25788,0.63,CollegeInSight_Explore_WY.csv
1218,Vermont - Total,2014-15,0.62,28283,17527,4323,0.62,8010,25056,0.63,CollegeInSight_Explore_WY.csv
1219,Vermont - Total,2013-14,0.65,29060,18985,4329,0.59,8611,23535,0.62,CollegeInSight_Explore_WY.csv
1220,Vermont - Total,2012-13,0.64,27318,17400,4738,0.64,7697,23076,0.61,CollegeInSight_Explore_WY.csv
1221,Vermont - Total,2011-12,0.63,28299,17742,4951,0.66,7526,21888,0.62,CollegeInSight_Explore_WY.csv
1222,Vermont - Total,2010-11,0.63,28273,17836,5063,0.66,6991,20903,0.62,CollegeInSight_Explore_WY.csv
1223,Vermont - Total,2009-10,0.66,28391,18634,4845,0.63,6431,18111,0.63,CollegeInSight_Explore_WY.csv
1224,"Washington - Private, for-profit",2016-17,,,,,,,22343,,CollegeInSight_Explore_WY.csv
1225,"Washington - Private, for-profit",2015-16,,,,3266,0.65,7828,20447,0.69,CollegeInSight_Explore_WY.csv
1226,"Washington - Private, for-profit",2014-15,,,,4170,0.72,7645,17922,0.67,CollegeInSight_Explore_WY.csv
1227,"Washington - Private, for-profit",2013-14,,,,4632,0.71,8054,17311,0.68,CollegeInSight_Explore_WY.csv
1228,"Washington - Private, for-profit",2012-13,,,,5029,0.74,7985,16778,0.68,CollegeInSight_Explore_WY.csv
1229,"Washington - Private, for-profit",2011-12,,,,5575,0.77,8159,16476,0.67,CollegeInSight_Explore_WY.csv
1230,"Washington - Private, for-profit",2010-11,,,,6399,0.75,8213,16613,0.64,CollegeInSight_Explore_WY.csv
1231,"Washington - Private, for-profit",2009-10,,,,9890,0.79,8353,16522,0.64,CollegeInSight_Explore_WY.csv
1232,"Washington - Private, nonprofit",2016-17,0.63,28829,18162,,,,38432,,CollegeInSight_Explore_WY.csv
1233,"Washington - Private, nonprofit",2015-16,0.62,28940,17943,4141,0.59,7370,36815,0.72,CollegeInSight_Explore_WY.csv
1234,"Washington - Private, nonprofit",2014-15,0.68,29213,19856,3916,0.61,7187,36227,0.73,CollegeInSight_Explore_WY.csv
1235,"Washington - Private, nonprofit",2013-14,0.68,29076,19902,4081,0.6,7446,34928,0.73,CollegeInSight_Explore_WY.csv
1236,"Washington - Private, nonprofit",2012-13,0.69,29773,20480,4193,0.63,7095,33294,0.71,CollegeInSight_Explore_WY.csv
1237,"Washington - Private, nonprofit",2011-12,0.67,28849,19468,4240,0.64,6862,31752,0.72,CollegeInSight_Explore_WY.csv
1238,"Washington - Private, nonprofit",2010-11,0.7,27171,19005,4326,0.64,6928,30282,0.71,CollegeInSight_Explore_WY.csv
1239,"Washington - Private, nonprofit",2009-10,0.7,27245,18958,4069,0.64,7029,29096,0.72,CollegeInSight_Explore_WY.csv
1240,Washington - Public,2016-17,0.49,21559,10564,,,,7175,,CollegeInSight_Explore_WY.csv
1241,Washington - Public,2015-16,0.49,22659,11103,10193,0.31,6011,7840,0.52,CollegeInSight_Explore_WY.csv
1242,Washington - Public,2014-15,0.54,23071,12446,9949,0.32,5947,8136,0.51,CollegeInSight_Explore_WY.csv
1243,Washington - Public,2013-14,0.55,23314,12733,9792,0.33,5893,8069,0.51,CollegeInSight_Explore_WY.csv
1244,Washington - Public,2012-13,0.55,22629,12460,9683,0.33,5727,8089,0.5,CollegeInSight_Explore_WY.csv
1245,Washington - Public,2011-12,0.53,21383,11373,9931,0.34,5641,7063,0.48,CollegeInSight_Explore_WY.csv
1246,Washington - Public,2010-11,0.53,20436,10781,9143,0.32,5498,5929,0.49,CollegeInSight_Explore_WY.csv
1247,Washington - Public,2009-10,0.52,17767,9177,8844,0.3,5320,5317,0.49,CollegeInSight_Explore_WY.csv
1248,Washington - Total,2016-17,0.52,23936,12447,,,,12596,,CollegeInSight_Explore_WY.csv
1249,Washington - Total,2015-16,0.53,24609,13043,17600,0.39,6668,12802,0.58,CollegeInSight_Explore_WY.csv
1250,Washington - Total,2014-15,0.57,24600,13990,18035,0.42,6609,12889,0.57,CollegeInSight_Explore_WY.csv
1251,Washington - Total,2013-14,0.58,24804,14294,18505,0.43,6776,12893,0.58,CollegeInSight_Explore_WY.csv
1252,Washington - Total,2012-13,0.58,24418,14152,18905,0.44,6631,12631,0.57,CollegeInSight_Explore_WY.csv
1253,Washington - Total,2011-12,0.56,23293,13099,19746,0.46,6614,11569,0.56,CollegeInSight_Explore_WY.csv
1254,Washington - Total,2010-11,0.56,22220,12538,19868,0.45,6684,10595,0.55,CollegeInSight_Explore_WY.csv
1255,Washington - Total,2009-10,0.59,22101,12941,22803,0.47,6940,9525,0.55,CollegeInSight_Explore_WY.csv
1256,"West Virginia - Private, for-profit",2016-17,,,,,,,12460,,CollegeInSight_Explore_WY.csv
1257,"West Virginia - Private, for-profit",2015-16,,,,1293,0.66,7947,12687,0.53,CollegeInSight_Explore_WY.csv
1258,"West Virginia - Private, for-profit",2014-15,,,,1222,0.77,7563,11441,0.41,CollegeInSight_Explore_WY.csv
1259,"West Virginia - Private, for-profit",2013-14,,,,1521,0.84,8155,10925,0.52,CollegeInSight_Explore_WY.csv
1260,"West Virginia - Private, for-profit",2012-13,,,,1444,0.81,7799,10633,0.57,CollegeInSight_Explore_WY.csv
1261,"West Virginia - Private, for-profit",2011-12,,,,1439,0.83,7342,9479,0.56,CollegeInSight_Explore_WY.csv
1262,"West Virginia - Private, for-profit",2010-11,,,,1511,0.73,7464,10078,0.55,CollegeInSight_Explore_WY.csv
1263,"West Virginia - Private, for-profit",2009-10,,,,1779,0.74,7181,9494,0.56,CollegeInSight_Explore_WY.csv
1264,"West Virginia - Private, nonprofit",2016-17,0.7,31222,21855,,,,27574,,CollegeInSight_Explore_WY.csv
1265,"West Virginia - Private, nonprofit",2015-16,0.86,27922,24013,1350,0.72,7294,26013,0.47,CollegeInSight_Explore_WY.csv
1266,"West Virginia - Private, nonprofit",2014-15,0.77,31163,23892,1483,0.75,7634,25201,0.47,CollegeInSight_Explore_WY.csv
1267,"West Virginia - Private, nonprofit",2013-14,0.76,29325,22285,1638,0.78,7349,23998,0.5,CollegeInSight_Explore_WY.csv
1268,"West Virginia - Private, nonprofit",2012-13,0.75,27997,21085,1543,0.74,7365,23181,0.52,CollegeInSight_Explore_WY.csv
1269,"West Virginia - Private, nonprofit",2011-12,,,,1326,0.76,7071,20988,0.52,CollegeInSight_Explore_WY.csv
1270,"West Virginia - Private, nonprofit",2010-11,0.73,32351,23518,1604,0.7,7048,20101,0.5,CollegeInSight_Explore_WY.csv
1271,"West Virginia - Private, nonprofit",2009-10,0.81,30365,24518,1661,0.68,7093,18244,0.51,CollegeInSight_Explore_WY.csv
1272,West Virginia - Public,2016-17,0.75,26940,20205,,,,6637,,CollegeInSight_Explore_WY.csv
1273,West Virginia - Public,2015-16,0.73,27594,20144,7051,0.5,6755,6323,0.42,CollegeInSight_Explore_WY.csv
1274,West Virginia - Public,2014-15,0.67,27395,18406,7432,0.52,6575,5867,0.41,CollegeInSight_Explore_WY.csv
1275,West Virginia - Public,2013-14,0.69,26659,18374,7573,0.51,6562,5431,0.4,CollegeInSight_Explore_WY.csv
1276,West Virginia - Public,2012-13,0.7,27264,18953,8182,0.52,6429,5060,0.38,CollegeInSight_Explore_WY.csv
1277,West Virginia - Public,2011-12,0.53,26122,13902,8581,0.54,6124,4755,0.41,CollegeInSight_Explore_WY.csv
1278,West Virginia - Public,2010-11,0.63,25029,15675,8685,0.53,6060,4464,0.42,CollegeInSight_Explore_WY.csv
1279,West Virginia - Public,2009-10,0.7,20090,14053,8643,0.54,5691,4379,0.41,CollegeInSight_Explore_WY.csv
1280,West Virginia - Total,2016-17,0.74,27505,20353,,,,9040,,CollegeInSight_Explore_WY.csv
1281,West Virginia - Total,2015-16,0.77,27708,21335,9694,0.54,6989,8863,0.44,CollegeInSight_Explore_WY.csv
1282,West Virginia - Total,2014-15,0.68,27713,18816,10137,0.57,6849,8451,0.42,CollegeInSight_Explore_WY.csv
1283,West Virginia - Total,2013-14,0.69,26854,18635,10732,0.57,6908,7896,0.42,CollegeInSight_Explore_WY.csv
1284,West Virginia - Total,2012-13,0.7,27320,19105,11169,0.57,6735,7366,0.41,CollegeInSight_Explore_WY.csv
1285,West Virginia - Total,2011-12,0.54,26227,14275,11346,0.58,6389,6722,0.43,CollegeInSight_Explore_WY.csv
1286,West Virginia - Total,2010-11,0.64,26258,16836,11800,0.57,6374,6581,0.44,CollegeInSight_Explore_WY.csv
1287,West Virginia - Total,2009-10,0.73,23678,17374,12083,0.58,6103,6389,0.44,CollegeInSight_Explore_WY.csv
1288,"Wyoming - Private, for-profit",2016-17,,,,,,,,,CollegeInSight_Explore_WY.csv
1289,"Wyoming - Private, for-profit",2015-16,,,,35,0.78,4826,,0.93,CollegeInSight_Explore_WY.csv
1290,"Wyoming - Private, for-profit",2014-15,,,,333,0.68,9476,,0.78,CollegeInSight_Explore_WY.csv
1291,"Wyoming - Private, for-profit",2013-14,,,,782,0.8,22660,,0.78,CollegeInSight_Explore_WY.csv
1292,"Wyoming - Private, for-profit",2012-13,,,,1085,0.82,25237,15019,0.76,CollegeInSight_Explore_WY.csv
1293,"Wyoming - Private, for-profit",2011-12,,,,1107,0.9,18635,14429,0.77,CollegeInSight_Explore_WY.csv
1294,"Wyoming - Private, for-profit",2010-11,,,,1531,0.89,19459,,0.8,CollegeInSight_Explore_WY.csv
1295,"Wyoming - Private, for-profit",2009-10,,,,1652,0.9,14016,,0.79,CollegeInSight_Explore_WY.csv
1296,"Wyoming - Private, nonprofit",2016-17,,,,,,,,,CollegeInSight_Explore_WY.csv
1297,"Wyoming - Private, nonprofit",2015-16,,,,258,0.71,8207,16968,0.77,CollegeInSight_Explore_WY.csv
1298,"Wyoming - Private, nonprofit",2014-15,,,,7,1,8279,16968,0.22,CollegeInSight_Explore_WY.csv
1299,"Wyoming - Private, nonprofit",2013-14,,,,16,0.89,12027,17211,0.18,CollegeInSight_Explore_WY.csv
1300,"Wyoming - Private, nonprofit",2012-13,,,,,,,,,CollegeInSight_Explore_WY.csv
1301,"Wyoming - Private, nonprofit",2011-12,,,,,,,,,CollegeInSight_Explore_WY.csv
1302,"Wyoming - Private, nonprofit",2010-11,,,,,,,,,CollegeInSight_Explore_WY.csv
1303,"Wyoming - Private, nonprofit",2009-10,,,,,,,,,CollegeInSight_Explore_WY.csv
1304,Wyoming - Public,2016-17,0.47,22524,10586,,,,3784,,CollegeInSight_Explore_WY.csv
1305,Wyoming - Public,2015-16,0.45,25378,11420,1294,0.31,5609,3644,0.42,CollegeInSight_Explore_WY.csv
1306,Wyoming - Public,2014-15,0.46,22683,10434,1262,0.34,5556,3466,0.4,CollegeInSight_Explore_WY.csv
1307,Wyoming - Public,2013-14,0.46,23708,10906,1371,0.33,5424,3257,0.4,CollegeInSight_Explore_WY.csv
1308,Wyoming - Public,2012-13,0.48,22879,10982,1521,0.36,5039,3088,0.38,CollegeInSight_Explore_WY.csv
1309,Wyoming - Public,2011-12,0.47,21241,9983,1301,0.31,4898,2960,0.38,CollegeInSight_Explore_WY.csv
1310,Wyoming - Public,2010-11,0.47,23341,10970,1251,0.3,4866,2768,0.4,CollegeInSight_Explore_WY.csv
1311,Wyoming - Public,2009-10,0.42,20571,8640,1457,0.33,4789,2695,0.39,CollegeInSight_Explore_WY.csv
1312,Wyoming - Total,2016-17,0.47,22524,10586,,,,3784,,CollegeInSight_Explore_WY.csv
1313,Wyoming - Total,2015-16,0.45,25378,11420,1587,0.35,6014,3695,0.5,CollegeInSight_Explore_WY.csv
1314,Wyoming - Total,2014-15,0.46,22683,10434,1602,0.38,6383,3490,0.49,CollegeInSight_Explore_WY.csv
1315,Wyoming - Total,2013-14,0.46,23708,10906,2169,0.42,11687,3301,0.46,CollegeInSight_Explore_WY.csv
1316,Wyoming - Total,2012-13,0.48,22879,10982,2606,0.46,13449,3199,0.51,CollegeInSight_Explore_WY.csv
1317,Wyoming - Total,2011-12,0.47,21241,9983,2408,0.45,11213,3125,0.49,CollegeInSight_Explore_WY.csv
1318,Wyoming - Total,2010-11,0.47,23341,10970,2782,0.47,12897,2768,0.5,CollegeInSight_Explore_WY.csv
1319,Wyoming - Total,2009-10,0.42,20571,8640,3109,0.5,9692,2695,0.5,CollegeInSight_Explore_WY.csv
